uid_t,name,name_zh,village,raw_Text
V130-2,Xingfushê,兴福社,V130," Xingfushê 兴福社: Located in Dongzhi 东至, this temple belongs to the Xu 许. Middle: Main gods: Zunzhu mingwang 尊主明王, Houtu furen 后土 夫人. Side altars: Baima xianggong 白马相公, Cigan xianfei 慈感仙妃"
V130-3,Fuxingshê,福兴社,V130," Fuxingshê 福兴社: Located in Dongzhi 东至, this temple belongs to the Li 李. Middle: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, Sima shengwang司马圣王, Baima xianggong 白马相公, Cigan xianfei 慈感仙妃"
V130-4,Fuanshê,福安社,V130," Fuanshê 福安社: Located in Dongzhi 东至, it belongs to the Guo 郭. Middle: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Side altars: Baima xianggong 白马相公, Cigan xianfei 慈感仙妃"
V130-5,Jiaxingshê,嘉兴社,V130," Jiaxingshê 嘉兴社: Located in Zhonggu 中谷, it belongs to the Li 李. Middle: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Side altars: Baima xianggong 白马相公, Cigan xianfei 慈感仙妃"
V130-6,Shangxianshê,上贤社,V130," Shangxianshê 上贤社: Located in Zhonggu 中谷, it belongs to the Lin 林 and the Chen 陈. Middle: Zunzhu mingwang 尊主明王, Houtu furen 后土 夫人. Side altars: Baima xianggong 白马相公, Cigan xianfei 慈感仙妃. Zunzhu mingwang 尊主明王 is lifted up during the Yuanxiao processions"
V130-7,Jiaxingshê,嘉兴社,V130," Jiaxingshê 嘉兴社: Located in Xizhi 西至, it belongs to the Chen 陈. Middle: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Side altars: Baima xianggong 白马相公, Cigan xianfei 慈感仙妃"
V130-8,Mingdean,明德庵,V130," Mingdean 明德庵 was built in 1914. (PTZJZ, 1992:219"
V130-9,Yaofeng temple,遥丰寺,V130," Yaofeng temple 遥丰寺. (PTZJZ, 1992:219"
V130-10,Mingdaotang,明道堂,V130," Mingdaotang 明道堂 is dedicated to Lin Lonjiang 林龙江. The SJCDCB, 1992:14 claims that there are 1331 initiates"
V130-11,Mingdeng zuci,明登祖祠,V130," Mingdeng zuci 明登祖祠 is dedicated to Lin Lonjiang 林龙江. The SJCDCB, 1992:14 claims that there are 880 initiates"
V130-12,Mingdetang,明德堂,V130," Mingdetang 明德堂 is dedicated to Lin Lonjiang 林龙江. The SJCDCB, 1992:14 claims that there are 950 initiates. "
V131-1,Jiuchamiao,纠察庙,V131," Jiuchamiao 纠察庙 is dedicated to Jiucha dutang 纠察都堂. Side altars: Yanggong taishi 杨公太师, Tiangong yuanshuai 田公 元帅, Baiya jiangjun 白牙将军, Lufu dashen 鲁府大神, Lufu furen 鲁府夫人 and Lufu yima 鲁府姨妈"
V131-2,Fushangong,福山宫,V131," Fushangong 福山宫, Shangyuanshê 上元社: Zunzhu mingwang 尊主 明王, Houtu furen 后土夫人"
V131-3,Guanyinlou,观音楼,V131, Guanyinlou 观音楼 is dedicated to Guanyin dashi 观音大士
V131-4,Qinganan,清泉庵,V131," Qinganan 清泉庵. (PTZJZ, 1992:219) "
V132-1,Xiajiangjing Baoshangong,霞江境宝山宫,V132," Xiajiangjing Baoshangong 霞江境宝山宫: This temple branched off from the Fushangong 福山宫; it was originally built during the Ming Jiajing period (1522–66) and rebuilt in Xianfeng 11 (1861). It was renovated in 1946 and in 1987. The main god is Ciji zhenjun 慈济 真君. Secondary gods include Taiyi xiangu 太乙仙姑, Wuhu jialuo 五虎 迦罗, Liugong yuanshuai 刘公元帅, Zhanggong shengjun 张公圣君, Nezha taizi 哪吒太子, and Ligong yuanshuai 李公元帅"
V132-2,Wenshengshê,文盛社,V132," Wenshengshê 文盛社: Main gods: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人"
V132-3,Xiajiangjing Longxiantan,霞江境隆显坛,V132," Xiajiangjing Longxiantan 霞江境隆显坛 is the main temple of the village. Originally built in Qianlong 30 (1765), it was rebuilt twice: in Daoguang 22 (1842), and in 1932. It was later renovated in 1986. Middle altar: Yanggong taishi 杨公太师, Magong taishi 马公太师, Tiegong taishi 铁公太师, Zhanggong shengjun 张公圣君, Tiangong yuanshuai 田公元帅. Left altar: Tianshang shengmu 天上圣母. Right altar: Dutong shenghou 都统圣侯. Front: Fenghuo ertong 风火儿童, Baiya jiangjun 白牙将军"
V132-4,Baozhou zumiao,宝洲祖庙,V132, Baozhou zumiao 宝洲祖庙 is dedicated to Tianshang shengmu 天上 圣母
V132-5,Mingxiatang,明夏堂,V132," Mingxiatang 明夏堂 was rebuilt during the Republican period. Middle: Sanyi jiaozhu 三一教主. Side altars: Guanyin dashi 观音大士, Yuantian shangdi 元天上帝, Wenchang dijun 文昌帝君, Tiangong yuanshuai 田公 元帅, Sanguan dadi 三官大帝, Guandi shengjun 关帝圣君, Wuxian dadi 五显 大帝, Chensheng hufa 陈圣护法, Zhuozhenren 卓真人, Lixianshi 李先师, Kongdaren 孔大人, Wengwudao 翁吾道, Linzhenming 林真明, Wanglingguan 王灵官, and Fude zhengshen 福德正神. The SJCDCB, 1992:14 claims that there are 790 initiates"
V132-6,Xiajiangjing Huiyuntan,霞江境惠云坛,V132," Xiajiangjing Huiyuntan 霞江境惠云坛 is dedicated to Lufu dashen 鲁府 大神, Lufu xiang gong 鲁府相公, Side altars: Lufu furen 鲁府夫人, and Fude zhengshen 福德正神"
V132-7,Zhengxingtan,正兴坛,V132," Zhengxingtan 正兴坛 is dedicated to Lufu Xianggong 鲁府相公, Side altars: Lufu furen 鲁府夫人, and Lufu yima 鲁府姨妈"
V132-8,Daxinting,达心亭,V132, Daxinting 达心亭 is dedicated to Guanyin dashi 观音大士
V132-9,Zhichengtan,至诚坛,V132, Zhichengtan 至诚坛 is dedicated to Sanyi jiaozhu 三一教主
V132-10,Sanyitang,三一堂,V132, Sanyitang 三一堂 is dedicated to Sanyi jiaozhu 三一教主. 
V133-1,Xiadaijing Jinshangong,下埭境金山宫,V133," Xiadaijing Jinshangong下埭境金山宫 branched out from the Fushangong 福山宫, and is the main temple for the village. Originally built during the Ming Wanli period (1573–1620), it was rebuilt both during the Qianlong period (1736–1795) and in 1989. Middle: Ciji zhenjun 慈济 真君. Side altars: Xuantian shangdi 玄天上帝, Kanggong yuanshuai 康公 元帅, Wengong yuanshuai 温公元帅, Denggong yuanshuai 邓公元帅, Tiangong yuanshuai 田公元帅, Yanggong taishi 杨公太师, Tiegong yuanshuai 铁公元帅, Tianshang shengmu 天上圣母, Zhanggong shengjun 张公 圣君, Ligong yuanshuai 李公元帅, Linshui furen 淋水夫人, Lindan furen 淋丹夫人, Wenwu zhushen 文武诸神"
V133-2,Xiadaijing Wenxingshushê,下埭境文兴书社,V133," Xiadaijing Wenxingshushê 下埭境文兴书社, Wenchang shuyuan 文昌 书院 is dedicated to Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, Wenchang dijun 文昌帝君, Kuidou xingjun 魁斗星君"
V133-3,Mingxiatang,明夏堂,V133," Mingxiatang 明夏堂 is dedicated to Sanyi jiaozhu 三一教主. Side altars: Xuantian shangdi 玄天上帝, Guanyin dashi 观音大士, Wuxian faye 五显 法爷, Chensheng faye 陈圣法爷, Huangsheng faye 黄圣法爷, Zhuozhenren 卓真人, Sanfeng zhenren 三峰真人. The SJCDCB, 1992:14 claims that there are 1205 initiates"
V133-4,Baoshengshê,保盛社,V133," Baoshengshê 保盛社 is dedicated to Zunzhu mingwang 尊主明王, Houtu furen 后土夫人"
V133-5,Xinxianshê,新贤社,V133," Xinxianshê 新贤社 is dedicated to Zunzhu mingwang 尊主明王, Houtu furen后土夫人"
V133-6,Longdetan,隆德坛,V133," Longdetan 隆德坛: Lufu xianggong 鲁府相公, Lufu furen 鲁府夫人, Lufu yima 鲁府姨妈, Huangshêren 黄舍人, Baisheren 白舍人, Tiangong yuanshuai 田公元帅, Tongziban 童子班, Daye 大爷"
V133-7,Jiuchamiao,纠察庙,V133, Jiuchamiao 纠察庙 is dedicated to Jiucha dashen 纠察大神
V133-8,Ruicaoan,瑞草庵,V133," Ruicaoan 瑞草庵 is dedicated to Shijia mouni 释迦牟尼. Side altars: Weituo 韦陀, Guanyin dashi 观音大士. "
V134-1,Xilijing Xianxinggong,西利境显兴宫,V134," Xilijing Xianxinggong 西利境显兴宫 was taken apart in 1958 for the smelting of steel and metal, but it has been rebuilt recently. Middle altar: Tianshang shengmu 天上圣母, Qiwei muhua niangma 七位木花娘妈. On the side altars: Gaoshan shenghou 高山圣侯 (Zhubajie 猪八戒), Qitian dasheng 齐天大圣"
V134-2,Xilijing Yongqingshê,西利境永庆社,V134," Xilijing Yongqingshê 西利境永庆社 is dedicated to Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Side altars: Zhanggong shengjun 张公 圣君, Tiangong yuanshuai 田公元帅, Baiya jiangjun 白牙将军, Sima shengwang 司马圣王, Gaoshan shenghou 高山圣侯, Yinglie shengwang 英烈 圣王"
V134-3,Sanyi tang,三一堂,V134," Sanyi tang 三一堂 is dedicated to Cuifu dama 崔府大妈. Side altars: Jindaren 金大人, Kongdaren 孔大人"
V134-4,Xilai chansi,西来禅寺,V134," Xilai chansi 西来禅寺: Originally subsidiary to Guanghuasi 广化寺, it has been rebuilt in recent years. Middle: Rulai fozu 如来佛祖. Side altars: Guanyin dashi 观音大士, Dizangwang 地藏王, Weituo 韦陀, Jialan 伽蓝. "
V135-1,Jingjiangjing Yongshougong,鲸江境永受宫,V135," Jingjiangjing Yongshougong 鲸江境永受宫, Jiaxingshê 嘉兴社 is dedicated to Xietian shangdi 协天上帝, Guan Ping 关平, Zhou Cang 周仓. Side altars: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, Sima shengwang 司马圣王, Kanggong yuanshuai 康公元帅, Zhanggong shengjun 张公圣君, Zhangshun shenghou 张顺圣侯, Xuantian shangdi 玄天上帝"
V135-2,Jingjiangjing Yinglingmiao,鲸江境英灵庙,V135," Jingjiangjing Yinglingmiao 鲸江境英灵庙 is dedicated to Tiangong yuanshuai 田公元帅. Side altars: Lufu dashen 鲁府大神, Lufu furen 鲁府夫人"
V135-3,Jingjiangjing Haininggong,鲸江境海宁宫,V135," Jingjiangjing Haininggong 鲸江境海宁宫 was built in 1937 and is dedicated to Tianshang shengmu 天上圣母. Side altars: Qianliyan 千里眼, Wanlier 万里耳"
V135-4,Changmingsi,长明寺,V135," Changmingsi 长明寺 is dedicated to Rulai fozu 如来佛祖. Side altars: Guansheng dijun 关圣帝君, Weituo 韦陀, Jialan 伽蓝. "
V136-1,Linpu shengjing Wenxinggong,林埔胜境文兴宫,V136," Linpu shengjing Wenxinggong 林埔胜境文兴宫 is dedicated to Sima shengwang 司马圣王. Side altars: Qitian dasheng 齐天 大圣, Beidou xingjun 北斗星君, Huanggong yuanshuai 黄公元帅"
V136-2,Changshoushê,长寿社,V136," Changshoushê 长寿社 is dedicated to Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Secondary gods: Tiangong yuanshuai 田公元帅, Tianshang shengmu 天上圣母, Lizhangzhe 李长者"
V136-3,Gonghuan,拱壶庵,V136," Gonghuan 拱壶庵 is dedicated to Miaodao Ciji zhenjun 妙道慈济真君. Side altars: Zhanggong shengjun 张公圣君, Magong shengjun 马公圣君, Wutan liesheng 五坛列圣"
V136-4,Guanyingge,观音阁,V136," Guanyingge 观音阁 is dedicated to Guanyin dashi 观音大士. Side altars: Shancai 善才, Longnü 龙女, Milefo 弥勒佛"
V136-5,Zongkongci,宗孔祠,V136," Zongkongci 宗孔祠, Nantang Qigongci 南塘戚公祠 is dedicated to Sanyi jiaozhu 三一教主. Secondary gods are Zhang Sanfeng 张三峰 and Zhuozhenren 卓真人. "
V137-1,Huxijing Qingyunmiao,浒西境青云庙,V137," Huxijing Qingyunmiao 浒西境青云庙 is dedicated to Tiangong yuanshuai 田公元帅. Side altars: Zhanggong shengjun 张公 圣君, Sanyi jiaozhu 三一教主, Baidaren 白大人, Fude zhengshen 福德正神, Baiya jiangjun 白牙将军"
V137-2,Xinyishê,新义社,V137," Xinyishê 新义社 is dedicated to Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Side altars: Qitian dasheng 齐天大圣, Tiangong yuanshuai 田公元帅, Baiya jiangjun 白牙将军"
V137-3,Xinfuci,新福祠,V137, Xinfuci 新福祠 is also known as Zhiyitang 植义堂. The main god is Guanyin dashi 观音大士. 
V138-1,Lianjiangjing Xianyingmiao,连江境显应庙,V138," Lianjiangjing Xianyingmiao 连江境显应庙: Originally built in the Song Dynasty, the temple was rebuilt in recent years. Middle: imperially granted 敕封 (title) Panggong shenghou 庞公圣侯. Side altars: Yushu dadi 玉枢大帝, Chengong taifu 陈公太府, Zhuogong taibao 卓公太保, Yanggong yuanshuai 杨公元帅"
V138-2,Xinxingshê,新兴社,V138," Xinxingshê 新兴社 was built recently, and is dedicated to Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Side altars: Yaogong yuanshuai 姚公元帅, Zhaode shengfei 昭德圣妃"
V138-3,Zhenwudian,真武殿,V138, Zhenwudian 真武殿 is dedicated to Xuantian shangdi 玄天上帝. 
V139-1,Fude dongshê,福德东社,V139, Fude dongshê 福德东社: Main god: Taiyi xiangu 太乙仙姑
V139-2,Houjiangjing Pukougong,垕江境浦口宫,V139," Houjiangjing Pukougong 垕江境浦口宫 is divided into Yongxing zhongshê 永兴中社 (the Wu 吴), Yongxing qianshê 永兴前社 (the Chen 陈), Yongxing houshê 永兴后社 (the Wu 吴), Yongxing yishê 永兴义社 (the Huang 黄 and the Chen 陈), Xinxing yishê 信兴义社 (the Wu 吴), Fude Jiangdong twelve shê ritual alliance dongshê 福德东社 (the Qi 祁), Fude xishê 福德西社 (the Lin 林), Huangxing sishê 黄兴祀社 (the Huang 黄), Taipingshê 太平社 (the Zhu 朱), Dongli jiahe 东里家社 (the Zheng 郑), Dongchun shangshê 东春上社 (miscellaneous surnames 杂姓), Xinan shoushê 新安寿社 (miscellaneous surnames 杂姓). There are 12 shê ritual associations in total. Apparently, there used to also be a Heshangshê “和尚社” (Buddhist monk ritual association), but now it no longer exists. Middle altar: Yuantian shangdi 元天上帝, Jiang meifei 江梅妃, Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Left altar: Jiang guojiu 江国舅, Wu zhenren 吴真人. Right altar: Tianshang shengmu 天上圣母, Guandi shengjun 关帝圣君. Jiang Meifei is a figure of local Putian legend who is said to have been summoned to the court during the Tang due to her great beauty. The temple preserves several stelae, including: 1) Jiaqing 16 (1811) 重修浦口宫志 (Account of the restoration of the Pukou Temple) (Epigraphical Materials, 1995:284, No. 248); 2) three stelae composed in Jiaqing 18 (1813) entitled 重修浦口宫题捐芳名碑 (The fragrant names of the contributors to the restoration of the Pukou Temple) (Epigraphical Materials, 1995:285–289, No. 249, 250, 251); 3) Guangxu 3 (1877) 重修浦口宫志 (Account of the restoration of the Pukou Temple) (Epigraphical Materials, 1995:333, No. 297); and 4) three inscriptions entitled 重修浦口宫题捐芳 名碑 (The fragrant names of the contributors to the restoration of the Pukou Temple) (Epigraphical Materials, 1995:334–337, No. 298, 299, 300"
V139-3,Feiyunmiao,飞云庙,V139," Feiyunmiao 飞云庙 belongs to Zhongjing 中境 and Xiza 西杂 neighborhoods. Originally built prior to the Ming Wanli period (1573–1620), it was renovated during the Qing Jiaqing period (1796–1820). The temple is dedicated to Tiangong yuanshuai 田公元帅. Left: Baiya jiangjun 白牙将军. Right: Jixiang dajiang 吉祥大将. This temple preserves a stele from Jiaqing 15 (1810) entitled 飞云庙捐置祀业碑 (Stele on contributions leading to the establishment of a fund for sacrifices at the Flying Cloud Temple) (Epigraphical Materials, 1995: 275, No. 240)"
V139-4,Shenqingmiao,神庆庙,V139, Shenqingmiao 神庆庙 belongs to Dongza 东杂 and Yijing 义境 neighborhoods. The main god is Sima shengwang司马圣王
V139-5,Huluyan,葫芦岩,V139, Huluyan 葫芦岩 belongs to Huanlang 环浪 neighborhood. The main god is Yanggong taishi 杨公太师
V139-6,Dongchen xunshê,东春巡社,V139, Dongchen xunshê 东春巡社 belongs to Dongza 东杂 neighborhood. The main god is Zhanggong shengjun 张公圣君
V139-7,Mingxiatang,明霞堂,V139," Mingxiatang 明霞堂 (Wanxiangci 万像祠) belongs to Xiza 西杂 neighborhood, and is the main temple for the Three in One religion 三一教 of Jiangdong village. The temple was rebuilt in 1986. In the main hall on the middle altar is Sanyi jiaozhu 三一教主. Left: Sanguan dadi 三官大帝 (two statues). Right: Hufa longtian 护法龙天 (two statues). The left hall is dedicated to Qianshou Guanyin 千手观音. Front: Zhuozu zhenren 卓祖真人. The right hall is dedicated to Yushu dadi 玉枢大帝. The SJCDCB, 1992:15 claims that there are 480 initiates"
V139-8,Dongshangci,东上祠,V139," Dongshangci 东上祠 belongs to Yijing 义境 neighborhood, and is dedicated to Sanyi jiaozhu 三一教主. Side altars: Sanguan dadi 三官大帝, Hufa longtou 护法龙头, Yushu dadi 玉枢大帝"
V139-9,Zhongshangci,中上祠,V139," Zhongshangci 中上祠 belongs to Huanlang 环浪 neighborhood, and is dedicated to Sanyi jiaozhu 三一教主"
V139-10,Sanyidong,三一洞,V139," Sanyidong 三一洞 is dedicated to Jin daren 金大人. Left: Lufu xianggong 鲁府相公, Lufu furen 鲁府夫人. Right: Li daye 李大爷, Huang daye 黄大爷, Xie daye 谢大爷"
V139-11,Jixinge,即心阁,V139," Jixinge 即心阁 is dedicated to Guanyin dashi 观音大士. Side altars: Weituo 韦陀, Jialan 伽蓝, Jintong 金童, Yunü 玉女"
V139-12,Feiyanfu,飞燕府,V139," Feiyanfu 飞燕府 is dedicated to the Wuwei daren 五位大人. These are the Xinghua Prefectural Commanding General Kong Zhouxi 兴化总兵孔 兆熙, who died while fighting pirates in Ming Jiajing 41 (1562), and his four generals. Secondary gods are Tianshang shengmu 天上圣母, Lufu dashen 鲁府大神, Lufu furen 鲁府夫人 and Lufu yima 鲁府姨妈"
V139-13,Zhongtianci,中天祠,V139," Zhongtianci 中天祠 is dedicated to Lin Lonjiang 林龙江. The SJCDCB, 1992:15 claims that there are 820 initiates"
V139-14,Qiaotouci,桥头祠,V139," Qiaotouci 桥头祠 is dedicated to Lin Lonjiang 林龙江. The SJCDCB, 1992:15 claims that there are 520 initiates. "
V140-1,Jingjiangjing Chunqiu yishê,京江境春秋义社,V140," Jingjiangjing Chunqiu yishê 京江境春秋义社 is the main temple for Haibin 海滨. Originally belonged to the Hong 洪, it is now owned by the Huang 黄. Main god: Tiangong yuanshuai 田公元帅. Secondary gods: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, Zhanggong shengjun 张公圣君, Yanggong taishi 杨公太师, Tianshang shengmu 天上圣母, Ligong zhangzhe 李公长者, Banshan daxian 半山大仙, Miaoying zushi 妙应祖师"
V140-2,Xingxun zushê,兴巡祖庙,V140," Xingxun zushê 兴巡祖庙 is the main temple of Haibin Wujia: Main gods: Jiang daren 江大人, Bai daren 白大人, Yang daren 杨大人, Zhu daren 朱大人, Tian daren 田大人. Secondary gods: Duchayuan yushi 都察院御史, Zhongjun 中军, Baban 八班"
V140-3,Shanbentang,善本堂,V140," Shanbentang 善本堂: Main god: Guanyin dashi 观音大士, Secondary gods: Weituo 韦陀, Jialan 伽蓝. Front secondary god: Lufu xianggong 鲁府相公, Lufu furen 鲁府夫人, Xuzhongjun 许中军 and Lizhongjun 李中军"
V140-4,Xingxunmiao,兴巡庙,V140," Xingxunmiao 兴巡庙: Main god: Yanggong taishi 杨公太师. Secondary gods: Jiang daren 江大人, Bai daren 白大人, Yang daren 杨大人, Zhu daren 朱大人, Tian daren 田大人"
V140-5,Dongzhenci,东镇祠,V140, Dongzhenci 东镇祠 is dedicated to Sanyi jiaozhu 三一教主
V140-6,Xianqingsi,仙庆寺,V140," Xianqingsi 仙庆寺, Qingshantang 庆善堂: Rebuilt in 1988, the temple is co-owned by Haibin 海滨, Jiangdong 江东, Donghua 东华, Donghua 东甲, and Zhelang 遮浪. Front hall: Main gods: Shijia wenfo 释加文佛, Sanjiuku pusa 三救苦菩萨. Secondary gods: Left: Weituo 韦陀. Right: Jialan 伽蓝. Front right: Fude zhengshen 福德正神, Eighteen Luohan 十八罗汉. Rear hall (Qingshantang 庆善堂): Main god: Milefo 弥勒佛. Secondary gods: Left: Guanyin dashi 观音大士, Wenshu pusa 文殊菩萨, Puxian pusa 普贤菩萨. Right: Weituo zuntian 韦陀尊天, Tianshang shengmu 天上圣母, Zhuoshi zhenren 卓氏真人. Right side hall: Miaoying zushi 妙应祖师"
V140-7,Longdetang,隆德堂,V140, Longdetang 隆德堂 is dedicated to Chenshi zhenren 陈氏真人. Secondary gods are Lufu dashen 鲁府大神 and Lufu yima 鲁府姨妈
V140-8,Jufumiao,聚福庙,V140, Jufumiao 聚福庙 is dedicated to Fude zhengshen 福德正神
V140-9,Sanyitang,三一堂,V140," Sanyitang 三一堂 is dedicated to Lin Lonjiang 林龙江. The SJCDCB, 1992:13 claims that there are 2006 initiates. "
V141-1,Zhujiangjing Jifumiao,珠江境集福庙,V141," Zhujiangjing Jifumiao 珠江境集福庙, Xinanshê 新安社 (also known as the Lüxianyan 吕仙岩) is located in Chencuo 陈厝. Main gods: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, Yanggong taishi 杨公太师, Tiangong yuanshuai 田公元帅. Secondary gods: Yuantian shangdi 元天上帝, Tianshang shengmu 天上圣母, Qitian dasheng 齐天大圣, Guansheng dijun 关圣帝君, Chenshi zhenren 陈氏真人, Yangfu jiuniang 杨府九娘, Guanyin dashi 观音大士, Weituo zuntian 韦驮尊天, Ligong zhangzhe 李公长者, Sugong ershi 苏公二使, Wenwu liesheng 文武列圣"
V141-2,Ruizhu shuyuan,蕊珠书院,V141," Ruizhu shuyuan 蕊珠书院, Xinan shangshê 新安上社 is located in Chengcuo 程厝. The main gods are Zunzhu mingwang 尊主明王, Houtu furen 后土夫人 and Wenchang dijun 文昌帝君. Secondary gods include Yanggong taishi 杨公太师, Xietian dadi 协天大帝, Zhanggong shengjun 张公圣君, Guanyin dashi 观音大士, Jialan pusa 伽蓝菩萨, Weituo zunzhe 韦驮尊者 and Luer baomu 鹿儿保母"
V141-3,Tongyingmiao,通应庙,V141," Tongyingmiao 通应庙 is located in Chencuo 陈厝. Main god: Tianshang shengmu 天上圣母. Secondary gods: Lufu xianggong 鲁府相公, Lufu furen 鲁府夫人, Tiangong yuanshuai 田公元帅, Huanggong ershi 黄公二使, Qianshi shengfei 钱氏圣妃, Li zhangzhe 李长者, Wuhua tongzi 五花童子, Niushan dawang 牛山大王, Zhu dawang 猪大王. Zhelang three jia ritual alliance 4) Xianyingdian 显应殿 is located in Chengcuo 程厝. Main god: Guangze zunwang 广泽尊王. Secondary gods: Yide xianfei 懿德仙妃 and Siye 四爷"
V141-4,Mingzhutang,明珠堂,V141," Mingzhutang 明珠堂 is located in Huangcuo 黄厝. Main god: Sanyi jiaozhu 三一教主. Secondary gods: Xuantian shangdi 玄天上帝, Lingguan dadi 灵官大帝, Xuantan yuanshuai 玄坛元帅, Tiangong yuanshuai田公元帅, Guansheng dijun 关圣帝君, Guanyin dashi 观音大士, Weituo zuntian 韦驮 尊天, Lufu xianggong 鲁府相公, Lufu furen 鲁府夫人, Sanfeng zhenren 三 丰真人, Zhuozu zhenren 卓祖真人, Xingru Lu xiansheng 性如卢先生. The SJCDCB, 1992:13 claims that there are 635 initiates"
V141-5,Xinan xinshê,新安新社,V141," Xinan xinshê 新安新社 is located in Chencuo 陈厝. Main gods: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人"
V141-6,Xian dongshê,新安东社,V141, Xian dongshê 新安东社 is located in Chengcuo 程厝. Main gods: Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人
V141-7,Dexinci,德馨祠,V141, Dexinci 德馨祠 is located in Chencuo 陈厝. Main god: Sanyi jiaozhu 三一教主
V141-8,Qingyuantang,清源堂,V141," Qingyuantang 清源堂 is located outside the village. There is a Sanguan baodian 三官宝殿 Buddhist Three Treasures Hall inside the temple. This temple originally belonged to the Guanmenjiao 关门教 (closed-door religious movement). Main gods are Guanyin dashi 观音大士, Sanguan dadi 三官大帝. Secondary gods are Weituo 韦驮 and Jialan 伽兰"
V141-9,Jiqingtang,积庆堂,V141, Jiqingtang 积庆堂 is located in Chencuo 陈厝 and dedicated to Sixiongdi 四兄弟
V141-10,Baoyuantang,保元堂,V141," Baoyuantang 保元堂 is located in Chencuo 陈厝. The temple was built in 1877. The main god is Sanyi jiaozhu 三一教主. Secondary gods are Xuantian shangdi 玄天上帝, Xuantan yuanshuai 玄坛元帅, Tiangong yuanshuai 田公元帅, Guanyin dashi 观音大士, Sanguan dadi 三官大帝 and Luwenhui 卢文辉"
V141-11,Dexinci,德馨祠,V141, Dexinci 德馨祠 is located in Chencuo 陈厝 and is dedicated to Sanyi jiaozhu 三一教主. Secondary gods are Zhuihuixu 朱慧虚 and Hufa longtian 护法龙天
V141-12,Gongdeci,功德祠,V141," Gongdeci 功德祠: This temple preserves a stele composed by Cheng Gongchen 程拱辰 in Wanli 30 (1602) entitled 修东角遮浪石隄记 (Record of the restoration of the dike from Dongjia to Zhelang). (Epigraphical Materials, 1995:192, No. 168)"
V141-13,Mingxintang,明馨堂,V141, Mingxintang 明馨堂 is dedicated to Lin Lonjiang 林龙江. The SJCDCB: 13 claims that there are about 1170 initiates. 
V142-1,Huajiangjing Xingtaiyan,华江境兴泰岩,V142," Huajiangjing Xingtaiyan 华江境兴泰岩 is the main temple for Huadi. Originally built during the Ming Dynasty, it was rebuilt both during the Qing Guangxu period (1875–1908) and in 1984. Middle: Yanggong taishi 杨公太师. Left: Bajiang 八将, Zaobo 皂伯, Dongdaye 东大爷. Right: Bajiang 八将, Zaobo 皂伯, Xidaye 西大爷. Left side hall: Yang jiuniang 杨九娘"
V142-2,Zhenwudian,真武殿,V142," Zhenwudian 真武殿 is dedicated to Xuantian shangdi 玄天上帝. Side altars: Lingguan dadi 灵官大帝, Huanggong yuanshuai 黄公元帅, Wei jiangjun 魏将军, Li jiangjun 李将军"
V142-3,Denglong shushê,登龙书社,V142," Denglong shushê 登龙书社 belongs to the Wu 吴. Middle: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Side altars: Liugong yuanshuai 刘公元帅, Sima shengwang 司马圣王, Fazhu xianfei 法主仙妃, Zhanggong shengjun 张公圣君"
V142-4,Fuyoushê,福佑社,V142," Fuyoushê 福佑社 belongs to the Chen 陈. Middle: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Side altars: Yanggong taishi 杨公太师, Wudiye 五帝爷, Qitian dasheng 齐天大圣"
V142-5,Yingyoushê,英佑社,V142," Yingyoushê 英佑社 belongs to the Wu 吴 and the Zheng 郑. Middle: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Side altars: Guansheng dijun 关圣帝君, Dutian yuanshuai 都天元帅, Guanyin dashi 观音 大士"
V142-6,Dengmingshê,灯明社,V142," Dengmingshê 灯明社 belongs to the Xie 谢. Middle: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人"
V142-7,Dechengfu,德成府,V142," Dechengfu 德成府 belongs to the Wu of Tianwei 田尾. Middle: Cuifu dama 崔府大妈. Side altars: Lufu dashen 鲁府大神, Lufu furen 鲁府夫人, Lufu yima 鲁府姨妈, Daye 大爷"
V142-8,Tianhougong,天后宫,V142," Tianhougong 天后宫 was built in 2002, and belongs to Zhoushejia 周社甲. Middle: Tianshang shengmu 天上圣母. Side altars: Tianqian shengmu 天前圣母, Guanyin dashi 观音大士"
V142-9,Zhongyitang,中一堂,V142, Zhongyitang 中一堂 is dedicated to Sanyi jiaozhu 三一教主
