startdate,enddate,uid_r,text,gods_involved
02-03,02-03,V143-8,"On 2/3, Tiangong yuanshuai 田公元帅, Yanggong taishi 杨公 太师, Xuantian shangdi 玄天上帝, Kanggong yuanshuai 康公元帅, as well as the Wuhuang dadi 五皇大帝 of the Chongshengci 崇圣祠 temple of Huazhong 华中 are taken on a procession around the three village alliance of Donghua.","['Kanggong yuanshuai', 'Tiangong', 'Tiangong yuanshuai', 'Wuhuang dadi', 'Xuantian shangdi', 'Yanggong taishi']"
01-15,01-16,V144-1,"On 1/15–16, Tiangong yuanshuai 田公 元帅, Kanggong yuanshuai 康公元帅, Chengong taishi 陈公太师, Zhanggong shengjun 张公圣君 and Tianshang shengmu 天上圣母 are taken on a procession around the three village alliance of Donghua. Kanggong yuanshuai 康公元帅 descends to possess Shentong 神童 (spirit mediums). Three Sanyijiao Scripture masters 三一教经师 are invited to conduct rites.","['Chengong taishi', 'Kanggong yuanshuai', 'Tiangong', 'Tiangong yuanshuai', 'Tianshang shengmu', 'Zhanggong shengjun']"
02-03,02-03,V144-2,"On 2/3, Tiangong yuanshuai 田公元帅, Yanggong taishi 杨公太师, Xuantian shangdi 玄天上帝, Kanggong yuanshuai 康公元帅, and the Wuhuang dadi 五皇大帝 of Chongshenci 崇圣祠 of Huazhong village are invited to go on procession within the three village alliance of Donghua.","['Kanggong yuanshuai', 'Tiangong', 'Tiangong yuanshuai', 'Wuhuang dadi', 'Xuantian shangdi', 'Yanggong taishi']"
01-10,01-11,V145-1,"On 1/10–11, the Zhu 朱 take the incense burners of the gods of Xianji shushê 显济书社 to each household to xingdao 行道 (practice the Dao). Four Fushou 福首 are selected to carry the incense burners.",[]
01-12,01-13,V145-2,"On 1/12–13, the miscellaneous surname group 杂姓 take the incense burners of the gods of Antai xingshê 安泰兴社 to xingdao 行道 (practice the Dao). Two Fushou 福首 are selected.",[]
01-14,01-15,V145-3,"On 1/14–15, the Zhu 朱 of Puding 舖顶 and the Huang 黄 and Chen 陈 of Houzhu 后珠 take the incense burners of the gods of Dongzhou shushê 东洲书社 to xingdao 行道 (practice the Dao).",[]
01-20,01-20,V145-4,"On 1/20, a common Yuanxiao 总元宵 is celebrated by the entire village. Tiangong yuanshuai 田公元帅 of Fengluangong 凤峦宫 is invited to go on procession around the five shê alliance.","['Tiangong', 'Tiangong yuanshuai']"
01-08,01-9,V146-1,"On 1/8–9, each household is visited by a procession to xingdao (practice the Dao). Wulu jiangjun 五路将军 is taken on this procession, carried by recently married young men, and is returned to the temple on the 9th. Opera is performed for one day.",['Wulu jiangjun']
01-22,01-22,V146-2,"On 1/22, a common Yuanxiao 总元宵 is celebrated. Lanterns and candles 喜蜡 are lit.",[]
01-20,01-20,V147-1,On 1/20 the villagers of Tadou participate in the general overall Yuanxiao rituals of Jingpu 井埔..,[]
01-09,01-09,V148-1,"On 1/9, the gods of Denglongshê 登龙社 are invited to go on procession within the village territory. Daoist masters are invited to conduct rites.",[]
01-08,01-08,V149-1,"On 1/8, the Fang 方 invite the gods of Xingxian lishê 兴贤里社 to go on a procession within their territory.",[]
01-10,01-10,V149-2,"On 1/10, the Chen 陈 invite the gods of the Lingcongshê 灵聪社 to go on a procession within their territory.",[]
01-15,01-15,V149-3,"On 1/15, the miscellaneous surnames group invite the gods of Xingxian lishê 兴贤里社 to go on a procession within their own territory.",[]
01-05,01-6,V150-1,"On 1/5–6, the Lin 林 carry the gods of the Yianshê 义安社 in a procession to each household in their territory to xingdao 行道 (practice the Dao).",[]
01-07,01-8,V150-2,"On 1/7–8, the Huang 黄 do the same.",[]
01-09,01-10,V150-3,"On 1/9–10, the Lu 卢 carry the gods of the Liantangshê 莲塘社 in a procession to each household in their territory to practice the Dao.",[]
01-11,01-12,V150-4,"On 1/11–12, the Chen 陈 carry the gods of the Fulushê 福禄社 in a procession to each household in their territory to practice the Dao.",[]
01-14,01-14,V150-5,"On 1/14, a common Yuanxiao 总元宵 is held for the entire village. On this day, Wenwu zhanggong 文武 张公, Wuwu sima shenghou 文武司马圣侯, Huishi shenghou 惠世圣侯, Zunzhu mingwang 尊主明王, and Houtu furen 后土夫人 are carried in a procession around the entire territory. Bonfires are run across 踏火, opera is performed 演戏, and fireworks are set off 放花. During Yuanxiao 元宵, the gods visit each home to xingdao 行道. This is done in the following way: first, the Fushou 福首 pick up the incense burners from the altar of the Yianshê 义安社 to start the procession (起马). Then prayers are made in the hall of each household. After the procession has circled the mountain (Quanshan 圈山) the incense burners are carried to the Longdonggong 龙洞宫. There, Daoist ritual masters 法师 chant the scriptures. Next, the gods and the incense burners are carried to the Julanting 聚兰亭 and then back to the shê. Finally, at the home of the Fushou who is holding the last incense burner of the previous year, three Daoist ritual masters conduct a Jiao ritual. There were originally only three Fushou but now there are seven. There are three basic requirements for becoming a Fushou. The person has to: 1) take part in the Chunzhai 春斋 Spring Fast (purification) in the first year, and 2) agree to host the Chujiuzao 初九早 (a kind of banquet held on the ninth day of the New Year); and to 3) invite the xianglao 乡老 Village Elders to the feast. Only then can the person become a Fushou in the third year.","['Houtu furen', 'Zunzhu mingwang']"
01-06,01-06,V151-1,"On 1/6, the Song 宋 take all the gods of Yongxingshê 永兴社 on a procession within their territory.",[]
01-08,01-08,V151-2,"On 1/8, the Yu 余 take all the gods of Yongxingshê to go on procession within their own territory.",[]
01-15,01-15,V151-3,"On 1/15, the entire village goes on processsion around its entire ritual territory.",[]
01-07,01-07,V152-1,"On 1/7, Wuxiangwei 梧巷尾 take the gods of Zhongxing lishê 仲兴里社 on a procession around their territory.",[]
01-14,01-14,V152-2,"On 1/14, Xiangkou 巷口 and Xiaxincuo 下新厝 take the gods of Yiqi xishê 义齐西社 on a procession within their own territory.",[]
01-09,01-09,V153-1,"On 1/9, Huangcuo 黄厝 takes the gods of Yiqi dongshê 义齐东社 on a procession around their territory.",[]
01-12,01-12,V153-2,"On 1/12, Dongzhang 东张 takes the gods of Yiqi dongshê 义齐东社 on procession around their territory.",[]
01-14,01-15,V154-1,"On 1/14–15, the gods of Yiqi xishê 义齐 西社 and Ganglinggong 威灵宫 are carried in a procession around the entire village territory.",[]
01-07,01-07,V155-1,"On 1/7, the gods of Yiqi dongshê 义齐 东社 are carried on a procession around the village territory.",[]
01-13,01-13,V156-1,"On 1/13, the Wu 吴 of Qiangouwei 前沟尾 invite the gods of Wufu zushê 五福祖社 to go on procession within their territory.",[]
01-14,01-14,V156-2,"On 1/14, the Cheng 程 of Qiangoutou 前沟头 invite the gods of Yiqi shangshê 义齐上社 to go on procession within their territory.",[]
01-09,01-09,V157-1,"On 1/9, the gods of Yiqi zhongshê 义齐 中社 and Zongjutang 宗聚堂 are taken on a procession around the village territory.",[]
01-10,01-10,V158-1,"On 1/10, the gods of Yixing shushê 义兴书社 are taken on a procession around the village territory.",[]
01-13,01-13,V159-1,"On 1/13, the gods of Yiqi xingshê 义齐 兴社 are invited to go on procession within its territory.",[]
01-10,01-10,V160-1,"On 1/10, the incense burners of the shê temple are taken to each household to xingdao (carry out the Dao). At night a lantern procession traces the village boundaries, while Daoist ritual masters conduct rites in the temple.",[]
01-09,01-09,V161-1,"On 1/9, the Zhou 周 of Yongtai heshê 永泰合社 take the incense burners of the shê altar to each of their households to xingdao (carry out the Dao) and then go on a procession around their territory.",[]
01-10,01-10,V161-2,"On 1/10, the miscellaneous surnames 杂姓 of Yongheshê 永和社 do the same in their own territory.",[]
01-11,01-11,V161-3,"On 1/11, the Liu 刘 of Yongan shushê 永安书社 do the same rituals in their own territory.",[]
01-12,01-12,V161-4,"On 1/12, the Fang 方 of Yongtai dongshê 永泰东社 do the same in their territory.",[]
01-13,01-13,V161-5,"On 1/13, the Wu 吴 of Yongtai zhongshê 永泰中社 to the same in their territory.",[]
01-14,01-14,V161-6,"On 1/14, the Chen 陈 of Yongning xishê 永宁西社 do the same in their territory.",[]
01-15,01-15,V161-7,"On 1/15, the Fang 方 of Fangxunshê 方寻社 do the same in their territory.",[]
01-16,01-16,V161-8,"On 1/16, the Chen 陈 of Yongtai xishê 永泰西社 do the same in their territory.",[]
01-18,01-18,V161-9,"On 1/18, a common Yuanxiao 总元宵 fetival is held for the eight shê alliance. Yanggong taishi 杨公太师 goes on procession within the entire ritual territory of Huiyang. Opera is performed and Daoist masters are invited to conduct rites.",['Yanggong taishi']
01-04,01-6,V162-1,"On 1/4–6, the first opera of the year (Touchangxi 头场戏) is performed.",[]
01-13,01-13,V162-2,"On 1/13, the gods of Taipingshê 太平社 are invited to go to each household to xingdao (carry out the Dao) and then to go on a procession within the entire village. Each year, each jia takes turn to be the host, and funds are collected on a per capita basis. One elder is appointed as the overall Fushou 福首. Newly wed men can bid for the chance to carry the statue of the gods.",[]
01-14,01-14,V162-3,"On 1/14, there is the “snatch the Bodhisattva” 抢菩萨 rite. The statue of Liugong yuanshuai 刘公元帅 can be detached and brought home for worshipping purposes. Later, it will be returned to the temple along with a monetary tribute.",['Liugong yuanshuai']
01-08,01-08,V163-1,"On 1/8, the Zhu 朱 of Haitou 海头 take the incense burners of the shê to each household to xingdao (carry out the Dao) and then take the gods on procession within their territory.",[]
01-10,01-10,V163-2,"On 1/10, the Zhu 朱 of Zhongjing 中境 take the incense burners of the shê to each household to xingdao (carry out the Dao) and then take the gods on procession within their territory.",[]
01-11,01-12,V163-3,"On 1/11–12, the Lin 林 of Weicuo 尾厝 go on procession within their territory.",[]
01-12,01-12,V163-4,"On 1/12, the Lin 林 of Jingshê 井社 take the incense burners of the shê to each household to xingdao (carry out the Dao) and then take the gods on procession within their territory.",[]
01-13,01-13,V163-5,"On 1/13, the Lin 林 of Xishê 西社 take the incense burners of the shê to each household to xingdao (carry out the Dao) and then take the gods on procession within their territory.",[]
01-14,01-14,V163-6,"On 1/14, the Lin 林 of Dongshê 东社 take the incense burners of the shê to each household to xingdao (carry out the Dao) and then take the gods on procession within their territory.",[]
01-16,01-16,V163-7,On 1/16 a common Yuanxiao festival 总元宵 is held for the entire village. The gods of Jinshangong 金山宫 are invited to go on procession to each of the four jia ritual associations. Opera is performed for two days. Daoist masters are invited to conduct rites.,[]
01-08,01-08,V164-1,"On 1/8, Dongtoujia 东头甲 take the incense burners of the shê to each household to xingdao (carry out the Dao) and then take the gods on procession within their territory.",[]
01-12,01-12,V164-2,"On 1/12, Xicuojia 西厝甲 take the incense burners of the shê to each household to xingdao (carry out the Dao) and then take the gods on procession within their territory.",[]
01-15,01-15,V164-3,"On 1/15, Xucuojia 徐厝甲 take the incense burners of the shê to each household to xingdao (carry out the Dao) and then take the gods on procession within their territory.",[]
01-16,01-16,V164-4,"On 1/16, Xiecuojia 谢厝甲 take the incense burners of the shê to each household to xingdao (carry out the Dao) and then take the gods on procession within their territory.",[]
01-23,01-23,V164-5,"On 1/23, a common Yuanxiao festival 总元宵 is held for the four jia ritual alliance. Yuantian shangdi 元天 上帝 of Liuqidian 流憩殿 is invited to go on procession within the entire territory of the four jia of Dongjia 东甲. The gods of Jiangping shushê 江平 书社 are also invited to go on procession within this territory.",['Yuantian shangdi']
01-10,01-10,V165-1,"On 1/10, the gods of Jiangping shushê 江平书社 are taken to each household to xingdao (carry out the Dao) and then go on procession within their territory.",[]
01-15,01-15,V165-2,"On 1/15, a general Yuanxiao festival 总元宵 is held. The gods of Chongjiaogong 崇教宫 and Denglong zushê 登龙祖社 go on procession within the four shê ritual alliance.",[]
01-12,01-13,V166-1,"On 1/12–13, the gods of Denglong zushê 登龙祖社 are taken to each household to xingdao (carry out the Dao) and then go on procession within their territory.",[]
01-15,01-15,V166-2,On 1/15 a general Yuanxiao 总元宵 is celebrated. The gods of Chongjiaogong 崇教宫 and Denglong zushê are invited to go on procession within the four shê alliance.,[]
01-08,01-9,V167-1,"On 1/8–9, the gods of Zhongxingshê 中兴社 are taken to each household to xingdao (carry out the Dao) and then go on procession within their territory.",[]
01-15,01-15,V167-2,"On 1/15, an overall Yuanxiao 总元宵 is celebrated. The gods of Chongjiaogong 崇教宫 and Denglong zushê 登龙 祖社 are invited to go on procession within the four shê alliance.",[]
01-14,01-14,V168-1,"On 1/14, the gods of Kaipu dongshê 开莆东社 are taken to each (non-Christian) household to xingdao (carry out the Dao) and then go on procession within their territory.",[]
01-15,01-15,V168-2,On 1/15 an overall Yuanxiao 总元宵 is held. The gods of Chongjiaogong 崇教宫 and Denglong zushê 登龙祖社 are invited to go on procession within the four shê alliance.,[]
01-09,01-09,V169-1,"On 1/9, the Lin 林 invite the gods of Xingxian taishê 兴贤泰社 to visit each household to xingdao (carry out the Dao) and then to go on procession within their territory.",[]
01-10,01-10,V169-2,"On 1/10, the Zhu 朱 invite the gods of Longcang shangshê 龙苍上社 to visit each household to xingdao (carry out the Dao) and then to go on procession within their territory.",[]
01-11,01-11,V169-3,"On 1/11, the Luo 罗, Zhang 张, Zhang 章 and Cai 蔡 invite the gods of Xingxian lishê 兴贤里社 to visit each household to xingdao (carry Dounan five shê alliance out the Dao) and then to go on procession within their territory.",[]
01-12,01-12,V169-4,"On 1/12, the Yang 杨 invite the gods of Xingtaishê 兴泰社 to visit each household to xingdao (carry out the Dao) and then to go on procession within their territory.",[]
01-15,01-15,V169-5,"On 1/15, the Zheng 郑 invite the gods of Xingxian shushê 兴贤 书社 to visit each household to xingdao (carry out the Dao) and then to go on procession within their territory.",[]
01-24,01-24,V169-6,"On 1/24, an overall Yuanxiao 总元宵 is celebrated by the entire village. The gods of Nanyanggong 南阳宫 are invited to go on procession within the five shê alliance.",[]
01-10,01-10,V170-1,"On 1/10, Meihu 梅湖 invites the gods of Guangrong shushê 光荣书社 to visit each household to xingdao and to go on procession within its territory.",[]
01-12,01-12,V170-2,"On 1/12, the Chen 陈 invite the gods of Yicheng shushê 义成书社 to visit each household to xingdao and to go on procession within its territory.",[]
01-13,01-13,V170-3,"On 1/13, the miscellaneous surname group 杂姓 invites the gods of Xianxian dongshê 先贤东社 to visit each household to xingdao and to go on procession within its territory.",[]
01-14,01-14,V170-4,"On 1/14, the Li 李 invite the gods of Yicheng xingshê 义成兴社 to visit each household to xingdao and to go on procession within its territory.",[]
01-15,01-15,V170-5,"On 1/15, the Chen 陈 invite the gods of Yicheng zushê 义成祖社 to visit each household to xingdao and to go on procession within its terrivtory.",[]
01-20,01-30,V170-6,"On 1/20–30, on a day determined by divination, an overall Yuanxiao 总元宵 festival for the five shê alliance is held. Yanggong taishi 杨公太师 is invited to go on procession around Pingshan 屏山 and Meihu. Opera is performed and Daoist ritual masters conduct Jiao rites.",['Yanggong taishi']
01-13,01-13,V171-1,"On 1/13 the Dongshan region 东山境 invites all the gods of Shiwushê 石屋社 to go on procession within its territory. Opera is performed, and Daoist ritual masters are invited to conduct a Jiao ritual. The celebration is organized by the territory itself, and funds are collected on a per capita basis.",[]
01-14,01-14,V171-2,"On 1/14 the Dongcuojing 东厝境 invites all the gods of the Kaipu dongshê 开莆东社 and the Xingxian lishê 兴贤里 社 to go on procession within its territory. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The celebration is organized by the territory itself, and funds are collected on a per capita basis.",[]
01-29,01-2,V171-3,"On 1/29–2/1, the Wulu jiangjun 五路将军 of Wanlinggong 万灵宫 of Houji 后积 goes on procession within the sevenfold ritual alliance. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The celebration is organized by Wanlinggong 万灵宫, and funds are collected on a per capita basis from throughout the entire ritual alliance.",['Wulu jiangjun']
01-12,01-12,V172-1,"On 1/12 all the gods of Yongxingshê 永兴社 and the Wanlinggong 万灵宫 are invited to go on a procession within the village. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-29,01-2,V172-2,"On 1/29–2/1, the Wulu jiangjun 五路 将军 of Wanlinggong 万灵宫 of Houji 后积 goes on procession within the sevenfold ritual alliance. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The celebration is organized by Wanling gong 万灵宫, and funds are collected on a per capita basis from throughout the entire ritual alliance. The",['Wulu jiangjun']
01-11,01-11,V173-1,"On 1/11 all the gods of Wananshê 万安社 and the Qishangong 歧山宫 are invited to go on procession within the village. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-29,01-2,V173-2,"On 1/29–2/1, the Wulu jiangjun 五路将军 of Wanlinggong 万灵宫 of Houji 后积 goes on procession within the sevenfold ritual alliance. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The celebration is organized by Wanlinggong 万灵宫, and funds are collected on a per capita basis from throughout the entire ritual alliance.",['Wulu jiangjun']
01-10,01-10,V174-1,"On 1/10, all the gods of Taipingshê 太平社 and the Lingqigong 灵崎宫 are invited to go on procession within the village. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-29,01-2,V174-2,"On 1/29–2/1, the Wulu jiangjun 五路将军 of Wanlinggong 万灵宫 of Houji 后积 goes on procession within the sevenfold ritual alliance. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The celebration is organized by Wanlinggong 万灵宫, and funds are collected on a per capita basis from throughout the entire ritual alliance.",['Wulu jiangjun']
01-08,01-08,V175-1,"On 1/8 the Lin 林 segment of the village invites all the gods of Xingneng qianshê 兴能前社 and the Qiantanggong 钱塘宫 to go on procession within its territory. Opera is performed, and Daoist ritual masters are invited to conduct rituals. These celebrations are organized by the Lin 林 surname group, and funds are collected on a per capita basis.",[]
01-09,01-09,V175-2,"On 1/9 the mixed-surname segment 杂姓 of the village invites all the gods of Xingneng qianshê 兴能前社 and Qiantanggong 钱塘宫 to go on procession within its territory and that of Louxia 楼下 village. Opera is performed, and Daoist ritual masters are invited to conduct rituals. This ritual is jointly organized by this territory itself and by Louxia village, and funds are collected on a per capita basis.",[]
01-14,01-14,V175-3,On 1/14 marionette plays are performed.,[]
01-29,01-2,V175-4,"On 1/29–2/1, the Wulu jiangjun 五路将军 of Wanlinggong 万灵宫 of Houji 后积 goes on procession within the sevenfold ritual alliance. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The celebration is organized by Wanlinggong 万灵宫, and funds are collected on a per capita basis from throughout the entire ritual alliance.",['Wulu jiangjun']
01-09,01-09,V176-1,"On 1/9 all the gods of Xingneng qianshê 兴能前社 and Qiantanggong 钱塘宫 are invited to go on procession within the village. Opera is performed, and Daoist ritual masters are invited to conduct rituals. This ritual is jointly organized by this territory itself and by the mixed surname group in Qianchengkou 前程口, and funds are collected on a per capita basis.",[]
01-29,01-2,V176-2,"On 1/29–2/1, the Wulu jiangjun 五路将军 of Wanlinggong 万灵宫 of Houji 后积 goes on procession through all the villages within the sevenfold ritual alliance. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The celebration is organized by Wanlinggong 万灵宫, and funds are collected on a per capita basis from throughout the entire ritual alliance",['Wulu jiangjun']
01-09,01-09,V177-1,"On 1/9 all the gods of Xingneng zuzhe 兴能祖社 and Ruiyungong 瑞云宫 are invited to go on procession within the village. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-29,01-2,V177-2,"On 1/29–2/1, the Wulu jiangjun 五路将军 of Wanlinggong 万灵宫 of Houji 后积 goes on procession through all the villages within the sevenfold ritual alliance. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The celebration is organized by Wanlinggong 万灵宫, and funds are collected on a per capita basis from throughout the entire ritual alliance.",['Wulu jiangjun']
01-15,01-16,V178-1,"On 1/15–16 the Li 李 surname group invites all the gods of Xingheshê 兴和社 and the Chengxianggong 呈祥宫 to go on procession around the village territory. Opera is performed, and Daoist ritual masters are invited to conduct rituals. This is organized by the Li 李 surname group, and funds are collected on a per capita basis.",[]
01-13,01-14,V179-1,"On 1/13–14 the Chen 陈 surname group invites all the gods of Xingxianshê 兴贤社 and the Lingcigong 灵慈宫 to go on procession within its territory. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The ritual is organized by the Chen 陈 surname group, and funds are collected on a per capita basis.",[]
01-14,01-15,V180-1,On 1/14–15 the incense burner of the temple is invited to each household to xingdao 行道.,[]
01-16,01-16,V180-2,"On 1/16 the gods of the Laideng shushê 莱登书社 are invited on a procession around the village and its boundaries. Opera is performed, and Daoist ritual masters carry out rituals. The celebration is organized by the village as a whole, and funds are raised on a per capita basis.",[]
01-13,01-14,V181-1,"On 1/13–14 the gods of Denglai shushê 登莱书社 are invited to go on procession within the village. Opera is performed, and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-12,01-12,V182-1,On 1/12 Lü Dongma 吕洞妈 is invited from the temple to the homes of the Fushou 福首 to give blessings.,[]
01-15,01-15,V182-2,"On 1/15 a circle of lanterns is formed in a procession. Three Daoist ritual masters are invited to perform a Jiao 醮 ritual. The celebration is organized by the village as a whole, and funds are raised on a per capita basis.",[]
01-13,01-14,V183-1,"On 1/13–14 Dufei niangniang 都妃 娘娘 is invited to go on a tour of inspection of the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",['Dufei niangniang']
01-16,01-16,V184-1,"On 1/16 the gods of Xingxianshê 兴贤社 are invited to each household to xingdao 行道, and there are processions of lanterns 圈灯.",[]
01-17,01-17,V184-2,On 1/17 the gods go on a tour of inspection of the borders of the area 绕境巡游. Fireworks are exploded 放炮 and Daoist ritual masters are invited to perform Jiao 醮 rituals.,[]
01-11,01-11,V185-1,On 1/11 villagers go to the Hongxi shushê 洪熙书社 of Xiakengyuan 下坑园 to invite the incense burners from the shê-altar to each household to xingdao 行道.,[]
01-12,01-12,V185-2,On 1/12 Magong taishi 马公 太师 goes on a procession to inspect the village boundaries. Daoist ritual masters are invited to perform rituals.,['Magong taishi']
01-12,01-12,V186-1,On 1/12 the incense burners from the shê-altar are taken to each household to xingdao 行道.,[]
01-12,01-12,V186-2,"On 1/12 the gods of Fanglinggong 芳岭宫 go on a tour of inspection of the boundaries of the village, while Daoist ritual masters conduct a Jiao ritual 做醮.",[]
02-01,02-01,V186-3,"Each time there is an intercalary 2nd lunar month, on the first day of the 2nd month villagers go to Houji 后积 to present incense to Kong Daren 孔大人, and then go on a procession through all the villages of the Kengyuan jiuqiao 坑园九窍 ritual alliance.",[]
01-15,01-15,V187-1,On 1/15 villagers go to the Hongxi shushê 洪熙书社 of Xiakengyuan 下坑园 to invite the incense burners from the shê-altar to each household to xingdao 行道.,[]
01-16,01-16,V187-2,"On 1/16, Xuantan yuanshuai 玄坛元帅 goes on a tour of inspection of the boundaries of the village, while Daoist ritual masters conduct a Jiao ritual 做醮.",['Xuantan yuanshuai']
01-13,01-14,V188-1,"On 1/13–14 the gods of Anminshê 安民社 go on a tour of inspection of the boundaries of the village, while Daoist ritual masters conduct a Jiao ritual 做醮.",[]
01-14,01-14,V189-1,On 1/14 the incense burners from the shê-altar are taken to each household to xingdao 行道.,[]
01-15,01-15,V189-2,"On 1/15 the palm sedan chairs 棕轿 of Zhanggong shengjun 张公圣君 and Huanggong ershi 黄公二使 go on a tour of inspection of the boundaries of the village, while a single Daoist ritual master conducts a simple Jiao ritual 做醮. In the evening, a procession of linked lanterns is held 圈灯.","['Huanggong', 'Huanggong ershi', 'Zhanggong shengjun']"
01-09,01-09,V190-1,"On 1/9, the incense burners from the shê-altar are taken to each household to xingdao 行道. At night there is a lantern procession.",[]
01-10,01-10,V190-2,"On 1/10 the gods go on a tour of inspection of the boundaries of the village, while Daoist rituals are conducted.",[]
01-11,01-11,V191-1,"On 1/11, the incense burners from the shê-altar are taken to each household to xingdao 行道. At night there is a lantern procession.",[]
01-15,01-15,V191-2,"On 1/15 the gods go on a tour of inspection of the boundaries of the village, while Daoist rituals are conducted.",[]
01-11,01-11,V192-1,On 1/11 the villagers go to Xiayuanhou 下院后 to the Yongxing zhongshê 永兴中社 to invite the incense burners from the shê-altar to be taken to each household to xingdao 行道. At night there is a lantern procession.,[]
01-12,01-12,V192-2,"On 1/12, the palm sedan chairs 棕轿 of gods go on a tour of inspection of the boundaries of the village, while Daoist rituals are conducted.",[]
01-05,01-05,V193-1,On 1/5 the Qianlongshê 前隆社 carries the Zunzhu mingwang 尊主明王 on a tour of inspection procession around its own territory. In the evening there is a procession of lanterns.,['Zunzhu mingwang']
01-06,01-06,V193-2,On 1/6 the Zhongxing fanshê 仲兴范社 carries Zunzhu mingwang 尊主明王 on a tour of inspection procession around its own territory. In the evening there is a procession of lanterns.,['Zunzhu mingwang']
01-07,01-07,V193-3,On 1/7 the Houan Huangshê 后安黄社 carries the Zunzhu mingwang 尊主明王 on a tour of inspection procession around its own territory. In the evening there is a procession of lanterns.,['Zunzhu mingwang']
01-08,01-08,V193-4,On 1/8 the Fangtang zushê 方塘祖社 carries the Zunzhu mingwang 尊主明王 on a tour of inspection procession around its own territory. In the evening there is a procession of lanterns.,['Zunzhu mingwang']
01-09,01-09,V193-5,On 1/9 the Zunzhu mingwang 尊主明王 of Houan zhengshê 后安正社 is invited on a tour of inspection procession around its own territory. In the evening there is a procession of lanterns.,['Zunzhu mingwang']
01-20,01-20,V193-6,"On 1/20 the village holds a general Yuanxiao festival. However, because in recent years the various processions from the different shê clashed, there is no longer a general Yuanxiao festival held in the village.",[]
01-17,01-17,V194-1,"On 1/17 all the gods of Yongangong 永安宫 are invited to go on procession within the village. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-13,01-13,V195-1,"On 1/13 Xishê 西社 invites Tianshang shengmu 天上圣母 to go on procession within their part of the village. The Xishê half of the village organizes the ritual, and funds are collected on a per capita basis.",['Tianshang shengmu']
01-14,01-14,V195-2,"On 1/14 Shangshê 上社 invites Tianshang shengmu 天上圣母 to go on procession within their part of the village. The Shangshê 上社 half of the village organizes the ritual together, and funds are collected on a per capita basis.",['Tianshang shengmu']
01-15,01-16,V195-3,"On 1/15–16 a general Yuanxiao is held. Lanterns are carried in a procession, and Daoist ritual masters are invited to conduct rituals. The",[]
01-09,01-09,V196-1,"On 1/9 the Huang 黄 surname group invites all the gods of Xinxinggong 新兴宫 and Xisheng zushê 西胜祖社 to go on procession within its territory. Opera is performed and Daoist ritual masters are invited to conduct rituals. This event is organized by the Huang 黄 surname group, and funds are collected on a per capita basis.",[]
01-10,01-10,V196-2,"On 1/10 the Liu 刘 surname group invites all the gods of Longfenggong 龙凤宫 and the Longxing shangxiashê 隆兴上下社 to go on procession within its territory. Opera is performed and Daoist ritual masters are invited to conduct rituals. This event is organized by the Liu surname group, and funds are collected on a per capita basis.",[]
02-02,02-02,V196-3,"On 2/2 Toufu 头福 (beginning good fortune) is celebrated. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
01-08,01-9,V197-1,"On 1/8–9: the incense burners of Yongan zhongshê 永安中社 are taken to each household to xingdao 行道 practice the Dao, and palm sedan chairs 棕轿 of the gods are taken on a tour of inspection of the village boundaries.",[]
01-10,01-11,V197-2,"On 1/10–11, the incense burners of Yongan shangshê 永安上社 are taken to each household to xingdao 行道 practice the Dao, and palm sedan chairs of the gods are taken on a tour of inspection of the village boundaries.",[]
01-12,01-12,V197-3,"On 1/12 the village celebrates a general Yuanxiao. Daoist ritual masters are invited to conduct jiao rituals 做醮, and lanterns are taken on a procession around the village.",[]
01-14,01-14,V198-1,"On 1/14 a single Fushou 福首 invites the incense burner of the Yongfu dongshê 永福东社 to visit each household to xingdao 行道 practice the Dao, while the gods go procession around the entire village.",[]
01-07,01-07,V199-1,On 1/7 the Huang 黄 and the Kuokou Chen 阔口陈氏 take turns inviting the incense burners from their shê altars to each household to xingdao 行道 practice the Dao.,[]
